Trajectory for B2g states:
State             eta               Uncorr_Re         Uncorr_Im         
7                 0.00900000        -78.17515778      -0.63420190       
8                 0.00900000        -78.17372210      -0.65615508       
9                 0.00900000        -78.15776501      -0.30421124       
10                0.00900000        -78.15757748      -0.29927842       
1                 0.00950000        -78.38156432      -0.09398278       
2                 0.00950000        -78.36671137      -1.03144584       
3                 0.00950000        -78.33245743      -0.01047508       
4                 0.00950000        -78.30915182      -0.53412989       
5                 0.00950000        -78.27989964      -0.13426897       
6                 0.00950000        -78.20562471      -0.14028839       
7                 0.00950000        -78.17515691      -0.66945269       
8                 0.00950000        -78.17372815      -0.69263899       
9                 0.00950000        -78.15777390      -0.32108521       
10                0.00950000        -78.15757834      -0.31588765       
1                 0.01000000        -78.38106096      -0.09841117       
2                 0.01000000        -78.36668762      -1.08598765       
3                 0.01000000        -78.33223367      -0.01049211       
4                 0.01000000        -78.30911241      -0.56283855       
5                 0.01000000        -78.27623150      -0.14148637       
6                 0.01000000        -78.21006931      -0.14771776       
7                 0.01000000        -78.17515618      -0.70470264       
8                 0.01000000        -78.17373388      -0.72912194       
9                 0.01000000        -78.15778198      -0.33796041       
10                0.01000000        -78.15757908      -0.33249771       
1                 0.01050000        -78.38058064      -0.10281177       
2                 0.01050000        -78.36666708      -1.14051821       
3                 0.01050000        -78.33202770      -0.01051808       
4                 0.01050000        -78.30907761      -0.59151993       
5                 0.01050000        -78.27164296      -0.14863959       
6                 0.01050000        -78.21538672      -0.15526840       
7                 0.01050000        -78.17515554      -0.73995188       
8                 0.01050000        -78.17373930      -0.76560407       
9                 0.01050000        -78.15778933      -0.35483670       
10                0.01050000        -78.15757972      -0.34910849       
1                 0.01100000        -78.38012474      -0.10718841       
2                 0.01100000        -78.36664919      -1.19503900       
3                 0.01100000        -78.33183735      -0.01055211       
4                 0.01100000        -78.30904670      -0.62017770       
5                 0.01100000        -78.26556558      -0.15553152       
6                 0.01100000        -78.22214732      -0.16312939       
7                 0.01100000        -78.17515499      -0.77520049       
8                 0.01100000        -78.17374439      -0.80208548       
9                 0.01100000        -78.15779604      -0.37171392       
10                0.01100000        -78.15758027      -0.36571989       
1                 0.01150000        -78.37969399      -0.11154483       
2                 0.01150000        -78.36663353      -1.24955124       
3                 0.01150000        -78.33166085      -0.01059346       
4                 0.01150000        -78.30901914      -0.64881489       
5                 0.01150000        -78.25636657      -0.16090345       
6                 0.01150000        -78.23198591      -0.17255224       
7                 0.01150000        -78.17515451      -0.81044857       
8                 0.01150000        -78.17374918      -0.83856626       
9                 0.01150000        -78.15780217      -0.38859197       
10                0.01150000        -78.15758075      -0.38233184       
1                 0.01200000        -78.37928850      -0.11588459       
2                 0.01200000        -78.36661973      -1.30405595       
3                 0.01200000        -78.33149674      -0.01064145       
4                 0.01200000        -78.30899446      -0.67743402       
5                 0.01200000        -78.24813646      -0.15803046       
6                 0.01200000        -78.24081398      -0.19025544       
7                 0.01200000        -78.17515409      -0.84569617       
8                 0.01200000        -78.17375367      -0.87504648       
9                 0.01200000        -78.15780778      -0.40547075       
10                0.01200000        -78.15758117      -0.39894425       
1                 0.01250000        -78.37890790      -0.12021094       
2                 0.01250000        -78.36660751      -1.35855400       
3                 0.01250000        -78.33134381      -0.01069551       
4                 0.01250000        -78.30897227      -0.70603724       
5                 0.01250000        -78.24661211      -0.15649038       
6                 0.01250000        -78.24289691      -0.20665550       
7                 0.01250000        -78.17515372      -0.88094335       
8                 0.01250000        -78.17375788      -0.91152619       
9                 0.01250000        -78.15781292      -0.42235018       
10                0.01250000        -78.15758154      -0.41555709       
1                 0.01300000        -78.36659664      -1.41304615       
2                 0.01300000        -78.37855148      -0.12452681       
3                 0.01300000        -78.33120102      -0.01075514       
