Trajectory for A states:
State             eta               Uncorr_Re         Uncorr_Im         
3                 0.01950000        -109.35029409     -2.77924884       
4                 0.01950000        -109.35363778     -1.75987657       
5                 0.01950000        -109.33154142     -0.88495372       
1                 0.02000000        -109.34116471     -4.34337708       
2                 0.02000000        -109.35039696     -3.21385475       
3                 0.02000000        -109.35029409     -2.85051164       
4                 0.02000000        -109.35363778     -1.80500161       
5                 0.02000000        -109.33154143     -0.90764221       
1                 0.02050000        -109.34116471     -4.45196401       
2                 0.02050000        -109.35039696     -3.29420112       
3                 0.02050000        -109.35029409     -2.92177443       
4                 0.02050000        -109.35363778     -1.85012665       
5                 0.02050000        -109.33154143     -0.93033076       
1                 0.02100000        -109.34116470     -4.56055088       
2                 0.02100000        -109.35039696     -3.37454748       
3                 0.02100000        -109.35029409     -2.99303722       
4                 0.02100000        -109.35363778     -1.89525169       
5                 0.02100000        -109.33154144     -0.95301937       
1                 0.02150000        -109.34116469     -4.66913770       
2                 0.02150000        -109.35039696     -3.45489385       
3                 0.02150000        -109.35029409     -3.06430001       
4                 0.02150000        -109.35363778     -1.94037673       
5                 0.02150000        -109.33154145     -0.97570804       
1                 0.02200000        -109.34116469     -4.77772446       
2                 0.02200000        -109.35039696     -3.53524022       
3                 0.02200000        -109.35029409     -3.13556280       
4                 0.02200000        -109.35363778     -1.98550177       
5                 0.02200000        -109.33154145     -0.99839675       
1                 0.02250000        -109.34116468     -4.88631118       
2                 0.02250000        -109.35039696     -3.61558659       
3                 0.02250000        -109.35029409     -3.20682559       
4                 0.02250000        -109.35363778     -2.03062681       
5                 0.02250000        -109.33154146     -1.02108552       
1                 0.02300000        -109.34116468     -4.99489785       
2                 0.02300000        -109.35039696     -3.69593296       
3                 0.02300000        -109.35029409     -3.27808838       
4                 0.02300000        -109.35363778     -2.07575185       
5                 0.02300000        -109.33154146     -1.04377433       
1                 0.02350000        -109.34116467     -5.10348449       
2                 0.02350000        -109.35039696     -3.77627933       
3                 0.02350000        -109.35029409     -3.34935117       
4                 0.02350000        -109.35363778     -2.12087689       
5                 0.02350000        -109.33154147     -1.06646318       
1                 0.02400000        -109.34116467     -5.21207108       
2                 0.02400000        -109.35039696     -3.85662570       
3                 0.02400000        -109.35029409     -3.42061396       
4                 0.02400000        -109.35363778     -2.16600193       
5                 0.02400000        -109.33154147     -1.08915207       
1                 0.02450000        -109.34116467     -5.32065764       
2                 0.02450000        -109.35039696     -3.93697207       
3                 0.02450000        -109.35029409     -3.49187675       
4                 0.02450000        -109.35363778     -2.21112697       
5                 0.02450000        -109.33154147     -1.11184099       
1                 0.02500000        -109.34116466     -5.42924416       
2                 0.02500000        -109.35039696     -4.01731843       
3                 0.02500000        -109.35029409     -3.56313954       
4                 0.02500000        -109.35363778     -2.25625201       
5                 0.02500000        -109.33154148     -1.13452995       
1                 0.02550000        -109.34116466     -5.53783065       
2                 0.02550000        -109.35039696     -4.09766480       
3                 0.02550000        -109.35029409     -3.63440234       
4                 0.02550000        -109.35363778     -2.30137705       
5                 0.02550000        -109.33154148     -1.15721894       
1                 0.02600000        -109.34116465     -5.64641711       
2                 0.02600000        -109.35039696     -4.17801117       
3                 0.02600000        -109.35029409     -3.70566513       
4                 0.02600000        -109.35363778     -2.34650209       
5                 0.02600000        -109.33154148     -1.17990797       
1                 0.02650000        -109.34116465     -5.75500354       
2                 0.02650000        -109.35039696     -4.25835754       
3                 0.02650000        -109.35029409     -3.77692792       
4                 0.02650000        -109.35363778     -2.39162713       
5                 0.02650000        -109.33154149     -1.20259702       
1                 0.02700000        -109.34116465     -5.86358994       
2                 0.02700000        -109.35039696     -4.33870391       
3                 0.02700000        -109.35029409     -3.84819071       
4                 0.02700000        -109.35363778     -2.43675217       
